rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
pisemny;podstawowy;jezyk polski;kobiety;2020;55.3
pisemny;podstawowy;jezyk bialoruski;kobiety;2020;75.6
pisemny;podstawowy;jezyk litewski;kobiety;2020;82.7
pisemny;podstawowy;jezyk ukrainski;kobiety;2020;81.3
pisemny;podstawowy;matematyka;kobiety;2020;52.4
pisemny;podstawowy;jezyk angielski;kobiety;2020;69.9
pisemny;podstawowy;jezyk niemiecki;kobiety;2020;55.1
pisemny;podstawowy;jezyk francuski;kobiety;2020;84.7
pisemny;podstawowy;jezyk rosyjski;kobiety;2020;60.9
pisemny;podstawowy;jezyk hiszpanski;kobiety;2020;75.0
pisemny;podstawowy;jezyk wloski;kobiety;2020;80.4
pisemny;podstawowy;jezyk polski;mezczyzni;2020;48.4
pisemny;podstawowy;jezyk bialoruski;mezczyzni;2020;64.1
pisemny;podstawowy;jezyk litewski;mezczyzni;2020;79.8
pisemny;podstawowy;jezyk ukrainski;mezczyzni;2020;73.0
pisemny;podstawowy;matematyka;mezczyzni;2020;52.1
pisemny;podstawowy;jezyk angielski;mezczyzni;2020;72.6
pisemny;podstawowy;jezyk niemiecki;mezczyzni;2020;55.2
pisemny;podstawowy;jezyk francuski;mezczyzni;2020;82.7
pisemny;podstawowy;jezyk rosyjski;mezczyzni;2020;57.8
pisemny;podstawowy;jezyk hiszpanski;mezczyzni;2020;75.7
pisemny;podstawowy;jezyk wloski;mezczyzni;2020;75.0
pisemny;podstawowy;jezyk polski;ogolem;2020;52.1
pisemny;podstawowy;jezyk bialoruski;ogolem;2020;71.0
pisemny;podstawowy;jezyk litewski;ogolem;2020;81.4
pisemny;podstawowy;jezyk ukrainski;ogolem;2020;77.7
pisemny;podstawowy;matematyka;ogolem;2020;52.3
pisemny;podstawowy;jezyk angielski;ogolem;2020;71.1
pisemny;podstawowy;jezyk niemiecki;ogolem;2020;55.1
pisemny;podstawowy;jezyk francuski;ogolem;2020;84.1
pisemny;podstawowy;jezyk rosyjski;ogolem;2020;59.7
pisemny;podstawowy;jezyk hiszpanski;ogolem;2020;75.2
pisemny;podstawowy;jezyk wloski;ogolem;2020;78.9
pisemny;rozszerzony;jezyk polski;kobiety;2020;58.1
pisemny;rozszerzony;jezyk bialoruski;kobiety;2020;98.6
pisemny;rozszerzony;jezyk litewski;kobiety;2020;85.2
pisemny;rozszerzony;jezyk ukrainski;kobiety;2020;82.6
pisemny;rozszerzony;matematyka;kobiety;2020;37.6
pisemny;rozszerzony;jezyk angielski;kobiety;2020;55.7
pisemny;rozszerzony;jezyk niemiecki;kobiety;2020;56.1
pisemny;rozszerzony;jezyk francuski;kobiety;2020;60.6
pisemny;rozszerzony;jezyk rosyjski;kobiety;2020;65.8
pisemny;rozszerzony;jezyk hiszpanski;kobiety;2020;55.7
pisemny;rozszerzony;jezyk wloski;kobiety;2020;70.7
pisemny;rozszerzony;wiedza o spoleczenstwie;kobiety;2020;27.0
pisemny;rozszerzony;geografia;kobiety;2020;20.3
pisemny;rozszerzony;biologia;kobiety;2020;43.0
pisemny;rozszerzony;chemia;kobiety;2020;36.4
pisemny;rozszerzony;historia;kobiety;2020;30.9
pisemny;rozszerzony;fizyka;kobiety;2020;35.4
pisemny;rozszerzony;historia muzyki;kobiety;2020;53.2
pisemny;rozszerzony;historia sztuki;kobiety;2020;42.5
pisemny;rozszerzony;filozofia;kobiety;2020;38.2
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;kobiety;2020;45.5
pisemny;rozszerzony;informatyka;kobiety;2020;32.6
pisemny;rozszerzony;jezyk kaszubski;kobiety;2020;63.2
pisemny;rozszerzony;jezyk lemkowski;kobiety;2020;0.0
pisemny;rozszerzony;jezyk polski;mezczyzni;2020;54.7
pisemny;rozszerzony;jezyk bialoruski;mezczyzni;2020;98.8
pisemny;rozszerzony;jezyk litewski;mezczyzni;2020;82.7
pisemny;rozszerzony;jezyk ukrainski;mezczyzni;2020;68.3
pisemny;rozszerzony;matematyka;mezczyzni;2020;31.2
pisemny;rozszerzony;jezyk angielski;mezczyzni;2020;55.9
pisemny;rozszerzony;jezyk niemiecki;mezczyzni;2020;55.8
pisemny;rozszerzony;jezyk francuski;mezczyzni;2020;57.9
pisemny;rozszerzony;jezyk rosyjski;mezczyzni;2020;68.9
pisemny;rozszerzony;jezyk hiszpanski;mezczyzni;2020;54.0
pisemny;rozszerzony;jezyk wloski;mezczyzni;2020;71.0
pisemny;rozszerzony;wiedza o spoleczenstwie;mezczyzni;2020;32.5
pisemny;rozszerzony;geografia;mezczyzni;2020;20.8
pisemny;rozszerzony;biologia;mezczyzni;2020;43.2
pisemny;rozszerzony;chemia;mezczyzni;2020;43.5
pisemny;rozszerzony;historia;mezczyzni;2020;35.6
pisemny;rozszerzony;fizyka;mezczyzni;2020;34.2
pisemny;rozszerzony;historia muzyki;mezczyzni;2020;44.0
pisemny;rozszerzony;historia sztuki;mezczyzni;2020;34.2
pisemny;rozszerzony;filozofia;mezczyzni;2020;36.5
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;mezczyzni;2020;53.2
pisemny;rozszerzony;informatyka;mezczyzni;2020;28.6
pisemny;rozszerzony;jezyk kaszubski;mezczyzni;2020;64.3
pisemny;rozszerzony;jezyk lemkowski;mezczyzni;2020;0.0
pisemny;rozszerzony;jezyk polski;ogolem;2020;57.3
pisemny;rozszerzony;jezyk bialoruski;ogolem;2020;98.6
pisemny;rozszerzony;jezyk litewski;ogolem;2020;84.4
pisemny;rozszerzony;jezyk ukrainski;ogolem;2020;76.0
pisemny;rozszerzony;matematyka;ogolem;2020;33.7
pisemny;rozszerzony;jezyk angielski;ogolem;2020;55.8
pisemny;rozszerzony;jezyk niemiecki;ogolem;2020;56.0
pisemny;rozszerzony;jezyk francuski;ogolem;2020;60.0
pisemny;rozszerzony;jezyk rosyjski;ogolem;2020;66.9
pisemny;rozszerzony;jezyk hiszpanski;ogolem;2020;55.3
pisemny;rozszerzony;jezyk wloski;ogolem;2020;70.8
pisemny;rozszerzony;wiedza o spoleczenstwie;ogolem;2020;29.3
pisemny;rozszerzony;geografia;ogolem;2020;20.5
pisemny;rozszerzony;biologia;ogolem;2020;43.0
pisemny;rozszerzony;chemia;ogolem;2020;38.3
pisemny;rozszerzony;historia;ogolem;2020;33.4
pisemny;rozszerzony;fizyka;ogolem;2020;34.5
pisemny;rozszerzony;historia muzyki;ogolem;2020;49.5
pisemny;rozszerzony;historia sztuki;ogolem;2020;40.9
pisemny;rozszerzony;filozofia;ogolem;2020;37.4
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;ogolem;2020;47.7
pisemny;rozszerzony;informatyka;ogolem;2020;29.0
pisemny;rozszerzony;jezyk kaszubski;ogolem;2020;63.5
pisemny;rozszerzony;jezyk lemkowski;ogolem;2020;0.0
ustny;nie dotyczy;jezyk polski;kobiety;2020;0.0
ustny;nie dotyczy;jezyk angielski;kobiety;2020;0.0
ustny;nie dotyczy;jezyk niemiecki;kobiety;2020;0.0
ustny;nie dotyczy;jezyk francuski;kobiety;2020;0.0
ustny;nie dotyczy;jezyk rosyjski;kobiety;2020;0.0
ustny;nie dotyczy;jezyk hiszpanski;kobiety;2020;0.0
ustny;nie dotyczy;jezyk wloski;kobiety;2020;0.0
ustny;nie dotyczy;jezyk polski;mezczyzni;2020;0.0
ustny;nie dotyczy;jezyk angielski;mezczyzni;2020;0.0
ustny;nie dotyczy;jezyk niemiecki;mezczyzni;2020;0.0
