rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
pisemny;podstawowy;jezyk polski;kobiety;2015;67.3
pisemny;podstawowy;jezyk bialoruski;kobiety;2015;77.4
pisemny;podstawowy;jezyk litewski;kobiety;2015;83.5
pisemny;podstawowy;jezyk ukrainski;kobiety;2015;77.4
pisemny;podstawowy;matematyka;kobiety;2015;52.7
pisemny;podstawowy;jezyk angielski;kobiety;2015;75.8
pisemny;podstawowy;jezyk niemiecki;kobiety;2015;71.9
pisemny;podstawowy;jezyk francuski;kobiety;2015;82.1
pisemny;podstawowy;jezyk rosyjski;kobiety;2015;68.7
pisemny;podstawowy;jezyk hiszpanski;kobiety;2015;83.9
pisemny;podstawowy;jezyk wloski;kobiety;2015;78.2
pisemny;podstawowy;jezyk polski;mezczyzni;2015;62.9
pisemny;podstawowy;jezyk bialoruski;mezczyzni;2015;67.8
pisemny;podstawowy;jezyk litewski;mezczyzni;2015;73.0
pisemny;podstawowy;jezyk ukrainski;mezczyzni;2015;78.3
pisemny;podstawowy;matematyka;mezczyzni;2015;58.0
pisemny;podstawowy;jezyk angielski;mezczyzni;2015;78.2
pisemny;podstawowy;jezyk niemiecki;mezczyzni;2015;70.7
pisemny;podstawowy;jezyk francuski;mezczyzni;2015;83.8
pisemny;podstawowy;jezyk rosyjski;mezczyzni;2015;64.3
pisemny;podstawowy;jezyk hiszpanski;mezczyzni;2015;83.7
pisemny;podstawowy;jezyk wloski;mezczyzni;2015;79.1
pisemny;podstawowy;jezyk polski;ogolem;2015;65.7
pisemny;podstawowy;jezyk bialoruski;ogolem;2015;74.0
pisemny;podstawowy;jezyk litewski;ogolem;2015;77.9
pisemny;podstawowy;jezyk ukrainski;ogolem;2015;77.8
pisemny;podstawowy;matematyka;ogolem;2015;54.7
pisemny;podstawowy;jezyk angielski;ogolem;2015;76.7
pisemny;podstawowy;jezyk niemiecki;ogolem;2015;71.5
pisemny;podstawowy;jezyk francuski;ogolem;2015;82.5
pisemny;podstawowy;jezyk rosyjski;ogolem;2015;67.5
pisemny;podstawowy;jezyk hiszpanski;ogolem;2015;83.9
pisemny;podstawowy;jezyk wloski;ogolem;2015;78.4
pisemny;rozszerzony;jezyk polski;kobiety;2015;61.0
pisemny;rozszerzony;jezyk bialoruski;kobiety;2015;100.0
pisemny;rozszerzony;jezyk litewski;kobiety;2015;77.7
pisemny;rozszerzony;jezyk ukrainski;kobiety;2015;97.2
pisemny;rozszerzony;matematyka;kobiety;2015;40.2
pisemny;rozszerzony;jezyk angielski;kobiety;2015;62.1
pisemny;rozszerzony;jezyk niemiecki;kobiety;2015;61.7
pisemny;rozszerzony;jezyk francuski;kobiety;2015;58.6
pisemny;rozszerzony;jezyk rosyjski;kobiety;2015;65.6
pisemny;rozszerzony;jezyk hiszpanski;kobiety;2015;59.0
pisemny;rozszerzony;jezyk wloski;kobiety;2015;68.8
pisemny;rozszerzony;wiedza o spoleczenstwie;kobiety;2015;24.7
pisemny;rozszerzony;geografia;kobiety;2015;40.8
pisemny;rozszerzony;biologia;kobiety;2015;41.9
pisemny;rozszerzony;chemia;kobiety;2015;50.7
pisemny;rozszerzony;historia;kobiety;2015;48.3
pisemny;rozszerzony;fizyka;kobiety;2015;39.3
pisemny;rozszerzony;historia muzyki;kobiety;2015;63.8
pisemny;rozszerzony;historia sztuki;kobiety;2015;45.3
pisemny;rozszerzony;filozofia;kobiety;2015;64.2
pisemny;rozszerzony;jezyk lacinski i kultura antyczna;kobiety;2015;52.5
pisemny;rozszerzony;informatyka;kobiety;2015;43.3
pisemny;rozszerzony;jezyk kaszubski;kobiety;2015;64.9
pisemny;rozszerzony;jezyk lemkowski;kobiety;2015;95.0
