date;World;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua_and_Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;Bonaire_Sint_Eustatius_and_Saba;Bosnia_and_Herzegovina;Botswana;Brazil;British_Virgin_Islands;Brunei;Bulgaria;Burkina_Faso;Burundi;Cambodia;Cameroon;Canada;Cape_Verde;Cayman_Islands;Central_African_Republic;Chad;Chile;China;Colombia;Comoros;Congo;Costa_Rica;Cote_d_Ivoire;Croatia;Cuba;Curacao;Cyprus;Czech_Republic;Democratic_Republic_of_Congo;Denmark;Djibouti;Dominica;Dominican_Republic;Ecuador;Egypt;El_Salvador;Equatorial_Guinea;Eritrea;Estonia;Ethiopia;Faeroe_Islands;Falkland_Islands;Fiji;Finland;France;French_Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guam;Guatemala;Guernsey;Guinea;Guinea_Bissau;Guyana;Haiti;Honduras;Hungary;Iceland;India;Indonesia;International;Iran;Iraq;Ireland;Isle_of_Man;Israel;Italy;Jamaica;Japan;Jersey;Jordan;Kazakhstan;Kenya;Kosovo;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macedonia;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall_Islands;Mauritania;Mauritius;Mexico;Moldova;Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nepal;Netherlands;New_Caledonia;New_Zealand;Nicaragua;Niger;Nigeria;Northern_Mariana_Islands;Norway;Oman;Pakistan;Palestine;Panama;Papua_New_Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto_Rico;Qatar;Romania;Russia;Rwanda;Saint_Kitts_and_Nevis;Saint_Lucia;Saint_Vincent_and_the_Grenadines;San_Marino;Sao_Tome_and_Principe;Saudi_Arabia;Senegal;Serbia;Seychelles;Sierra_Leone;Singapore;Sint_Maarten_Dutch_part;Slovakia;Slovenia;Solomon_Islands;Somalia;South_Africa;South_Korea;South_Sudan;Spain;Sri_Lanka;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Tanzania;Thailand;Timor;Togo;Trinidad_and_Tobago;Tunisia;Turkey;Turks_and_Caicos_Islands;Uganda;Ukraine;United_Arab_Emirates;United_Kingdom;United_States;United_States_Virgin_Islands;Uruguay;Uzbekistan;Vanuatu;Vatican;Venezuela;Vietnam;Wallis_and_Futuna;Western_Sahara;Yemen;Zambia;Zimbabwe
01.04.2020;439908;124;120;452;212;5;0;4;579;306;38;2284;4900;211;11;177;12;16;71;9031;2;3;26;2;83;0;249;0;3516;0;25;179;147;0;18;121;6577;3;11;2;4;1816;664;528;0;18;170;95;485;138;5;138;1914;53;1269;28;9;797;1220;290;23;6;14;376;14;47;0;0;592;29826;12;10;1;40;35812;99;54;571;6;8;37;17;37;12;0;7;8;136;299;487;835;842;0;19795;378;1906;29;2986;36616;17;760;63;147;261;34;54;98;65;7;201;159;0;0;9;21;324;1079;181;27;0;1142;5;18;59;0;3;101;1510;228;14;2;62;4;447;7;12;8;2;7035;7;458;2;13;87;0;1881;108;1048;57;738;0;32;649;1532;1410;5081;0;255;1483;1842;35;8;11;0;43;0;796;89;651;3;0;321;5;159;334;0;2;796;649;0;54174;20;4;2;5;2436;7319;9;106;0;7;717;0;16;30;248;11659;4;35;465;416;21304;134387;13;141;118;0;5;44;75;0;0;0;32;6
02.04.2020;463719;117;113;545;202;6;2;4;631;373;36;2177;4823;266;16;150;15;27;66;9349;1;8;26;2;84;0;291;0;4403;3;24;180;147;0;14;161;6210;2;19;4;4;1889;662;595;0;18;174;110;545;155;5;188;1935;78;1383;22;5;892;1547;268;28;4;14;375;17;41;0;2;566;31756;12;12;1;42;37014;127;43;554;5;9;40;22;48;26;9;14;8;167;324;483;1316;887;0;20576;348;1883;42;3222;36188;19;910;63;125;260;56;59;122;68;8;225;146;0;3;9;21;307;986;177;35;0;1112;6;26;61;0;3;106;1692;274;17;4;70;4;429;5;13;9;2;7202;2;461;3;67;100;0;1749;111;1234;72;729;0;28;765;1675;1503;5256;0;298;1554;2119;41;6;10;1;28;0;820;91;757;3;0;432;14;184;313;0;4;671;735;0;52803;41;4;2;5;2608;7356;9;104;0;8;726;0;13;29;221;13246;4;30;681;481;23443;147527;13;124;122;0;5;37;80;0;0;0;24;5
03.04.2020;480256;160;103;619;204;5;1;2;544;407;32;2058;4100;278;15;185;8;21;168;9464;1;7;20;2;71;0;319;0;4995;1;19;193;142;0;16;183;7250;1;22;3;2;2098;638;670;0;37;165;98;516;166;4;210;1796;69;1509;29;1;892;1760;323;33;3;16;320;17;37;0;2;560;29950;7;11;1;42;37408;72;53;622;4;3;33;22;57;47;7;14;10;155;323;517;1577;897;0;21062;390;2030;45;3586;34703;21;1253;49;127;266;79;52;134;81;4;214;126;0;3;10;19;350;1034;153;36;0;1085;6;32;63;0;3;88;1810;328;17;3;77;0;433;3;15;5;2;7266;1;434;3;64;109;0;1779;122;1094;71;801;0;25;834;1926;1725;5490;316;400;1709;2708;32;6;10;1;27;0;873;90;787;3;0;455;21;200;320;0;3;535;730;0;50894;42;4;2;3;2876;7480;11;87;0;8;739;0;15;32;282;14506;3;31;741;691;25664;159549;16;121;107;0;1;37;73;0;0;0;25;5
04.04.2020;497067;144;118;762;172;4;1;8;575;398;34;2170;3828;278;15;177;13;21;257;9638;2;10;18;2;65;0;353;0;5639;1;18;192;142;0;12;421;7844;1;21;3;2;2127;581;728;0;37;153;117;493;189;3;234;1911;76;1711;28;3;907;1741;284;43;3;16;386;19;35;0;7;590;31374;9;14;1;67;37196;68;40;647;1;5;36;18;78;47;13;18;10;169;335;474;2029;940;0;18136;314;2152;85;4393;33329;27;1436;66;87;267;91;55;117;86;4;213;103;0;4;10;15;413;1007;211;41;0;1172;5;35;64;0;3;92;1934;392;15;3;99;0;363;3;15;6;3;7120;3;408;3;88;109;0;1627;100;1094;64;887;0;40;960;2215;1994;5618;314;387;1891;3113;35;7;10;6;28;0;781;88;1019;3;0;382;20;155;302;0;2;335;678;0;49313;45;4;2;0;3112;7123;11;88;0;8;842;0;15;34;228;15223;3;34;854;859;27445;173279;21;133;123;0;2;25;69;0;0;0;23;4
05.04.2020;519494;164;136;797;158;6;1;8;706;398;36;1878;3475;339;17;215;22;25;300;9716;2;10;15;1;76;0;375;0;6374;1;15;172;122;0;11;456;8496;2;27;3;3;2252;516;798;0;26;140;105;469;169;3;247;1809;96;1876;36;3;859;1630;449;43;3;23;378;22;26;0;7;664;31030;6;14;1;72;39167;73;42;612;0;3;38;27;97;103;16;16;13;158;325;454;2395;937;0;20335;372;2189;94;4399;32160;23;1578;62;88;231;88;60;244;60;4;204;108;0;7;17;16;377;898;242;43;0;1163;3;32;76;0;1;94;1992;521;15;2;117;1;561;2;13;6;1;6865;3;396;1;110;113;0;1665;125;1042;58;900;0;45;1075;2019;1989;5354;352;735;2161;3467;42;8;10;6;35;0;976;89;965;3;0;386;20;176;286;0;4;398;654;0;48422;44;5;2;0;3169;7049;11;80;0;8;924;0;13;29;268;16532;0;18;914;1037;29159;187572;18;131;133;0;1;25;53;0;0;0;11;2
06.04.2020;528387;185;149;809;167;7;1;8;734;351;14;1651;3170;375;15;200;39;23;470;9698;3;16;15;1;87;0;340;0;6874;1;9;185;165;0;7;551;9241;2;31;3;4;2332;485;783;0;26;140;96;469;181;2;232;1758;73;1974;40;3;886;1756;494;39;2;17;418;27;22;0;9;709;30304;6;14;1;84;38093;62;38;579;1;3;54;34;109;113;16;21;6;159;297;466;2996;988;0;19917;414;2496;85;4183;31259;24;1788;92;86;247;100;67;301;132;5;157;89;0;10;10;16;327;854;224;35;0;1192;2;27;85;0;1;117;2083;601;16;2;129;1;542;2;13;5;4;6985;3;359;1;174;135;8;1538;131;1751;111;999;0;49;1429;1828;2240;5316;348;970;2104;3855;34;3;5;6;37;0;1156;80;1167;2;0;465;22;149;267;0;4;375;623;0;46276;46;7;2;0;3229;6748;10;57;0;8;832;0;14;26;275;17852;0;19;890;1213;30357;194610;12;112;197;0;1;29;42;0;0;0;10;2
07.04.2020;536968;196;154;839;156;9;1;8;662;321;21;1287;2679;368;19;241;74;26;595;9893;4;20;12;1;87;0;342;6;7477;0;8;190;142;3;6;516;9229;2;27;3;2;2366;457;781;0;26;137;155;432;180;4;235;1820;63;2104;64;4;927;1781;464;46;2;19;393;21;15;0;9;863;29840;5;14;0;90;37312;135;40;543;1;3;52;38;120;112;31;23;9;164;325;476;3170;1077;0;19005;401;2454;97;4431;30808;21;1953;106;81;345;108;81;399;144;3;166;95;0;11;10;14;359;855;285;33;0;1167;2;29;124;0;1;116;2330;667;16;3;142;1;564;2;8;5;4;7053;2;296;2;233;107;6;1529;192;2239;138;1025;0;48;1611;1576;2358;5322;339;1139;2105;4507;35;4;5;6;48;0;1070;64;1415;0;6;531;22;198;258;0;4;360;545;0;43340;58;6;2;1;3202;6162;9;67;0;5;607;0;24;20;262;19390;3;19;839;1434;31091;203576;12;87;248;0;1;24;45;0;0;0;4;2
08.04.2020;539471;201;140;752;169;10;1;8;749;310;19;1249;2458;419;21;244;113;29;709;9727;4;18;7;1;95;2;368;3;8000;0;6;178;138;1;8;492;9347;1;31;3;2;2378;489;874;0;23;136;181;415;210;2;232;1709;82;2211;90;4;847;1693;666;46;1;16;404;27;15;0;10;924;26039;10;14;0;86;35862;135;44;518;1;3;52;42;106;128;25;21;10;140;370;451;3797;1210;0;17983;337;2474;98;4332;29794;25;2304;89;75;364;113;93;454;163;3;150;85;0;11;9;10;347;792;270;39;0;1197;1;38;111;0;1;125;2517;703;17;3;132;1;567;2;7;5;4;6985;2;322;2;258;123;2;1416;227;2033;143;1068;1;46;1889;1680;2537;4999;334;1276;2172;5160;30;3;1;7;49;0;1232;62;1547;0;5;602;34;218;241;0;5;396;598;0;41510;63;7;0;1;3465;6056;9;54;0;5;718;0;31;20;234;20578;3;8;913;1649;32100;209191;15;87;331;0;1;31;39;0;0;0;4;2
09.04.2020;546925;231;141;725;174;11;1;8;662;258;22;1076;2258;463;19;254;164;18;914;9808;5;13;7;0;141;0;352;3;9091;0;4;171;153;1;8;497;9679;1;23;2;3;2515;475;989;0;38;127;194;380;245;3;206;1723;60;2295;101;3;827;1692;850;62;3;15;406;26;11;0;8;1041;25059;14;15;0;96;34680;118;51;509;1;2;48;41;103;134;24;18;11;124;395;396;3769;1279;0;16993;508;2777;93;3813;28848;19;2590;89;80;411;98;94;538;168;5;131;96;0;25;11;7;331;715;263;39;8;1211;0;31;142;0;1;119;2714;751;14;2;126;4;621;7;6;3;4;6935;2;269;1;268;125;5;1345;209;2031;129;1211;1;55;3019;1559;2651;4890;334;1375;2301;5895;28;3;1;6;72;0;1212;54;1606;0;6;623;24;282;250;0;3;465;447;0;39672;46;7;0;3;3633;5640;9;40;0;5;652;0;34;18;229;22547;3;9;874;1783;33036;215411;15;85;368;0;2;24;22;0;0;0;3;3
10.04.2020;556687;249;132;680;155;11;0;10;761;201;22;928;2119;526;17;244;274;21;1232;10569;6;17;13;0;136;0;343;9;9947;0;2;167;155;0;5;459;9480;1;17;3;4;2568;460;1062;0;19;143;250;396;282;3;208;1711;92;2249;99;4;969;1802;920;71;3;11;349;27;7;5;8;1087;27229;14;26;0;97;33829;174;35;441;1;2;46;79;100;142;26;18;12;160;567;329;4111;1503;0;15752;460;3544;119;3716;28384;16;2730;102;73;416;74;89;568;173;6;131;88;0;25;13;4;306;628;309;34;5;1112;0;23;148;0;1;145;2822;784;14;2;108;4;666;7;7;3;4;7065;2;243;1;336;114;3;1225;226;2310;108;1277;1;52;3842;1443;2629;4922;367;1427;2464;6583;31;3;1;10;88;0;1402;55;1696;0;5;860;27;275;227;0;7;472;388;0;36937;42;7;0;3;3724;5301;3;41;0;4;598;1;34;12;188;24147;3;8;995;1886;33254;220493;17;74;392;0;2;27;21;0;0;0;0;3
