date;World;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua_and_Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;Bonaire_Sint_Eustatius_and_Saba;Bosnia_and_Herzegovina;Botswana;Brazil;British_Virgin_Islands;Brunei;Bulgaria;Burkina_Faso;Burundi;Cambodia;Cameroon;Canada;Cape_Verde;Cayman_Islands;Central_African_Republic;Chad;Chile;China;Colombia;Comoros;Congo;Costa_Rica;Cote_d_Ivoire;Croatia;Cuba;Curacao;Cyprus;Czech_Republic;Democratic_Republic_of_Congo;Denmark;Djibouti;Dominica;Dominican_Republic;Ecuador;Egypt;El_Salvador;Equatorial_Guinea;Eritrea;Estonia;Ethiopia;Faeroe_Islands;Falkland_Islands;Fiji;Finland;France;French_Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guam;Guatemala;Guernsey;Guinea;Guinea_Bissau;Guyana;Haiti;Honduras;Hungary;Iceland;India;Indonesia;International;Iran;Iraq;Ireland;Isle_of_Man;Israel;Italy;Jamaica;Japan;Jersey;Jordan;Kazakhstan;Kenya;Kosovo;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macedonia;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall_Islands;Mauritania;Mauritius;Mexico;Moldova;Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nepal;Netherlands;New_Caledonia;New_Zealand;Nicaragua;Niger;Nigeria;Northern_Mariana_Islands;Norway;Oman;Pakistan;Palestine;Panama;Papua_New_Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto_Rico;Qatar;Romania;Russia;Rwanda;Saint_Kitts_and_Nevis;Saint_Lucia;Saint_Vincent_and_the_Grenadines;San_Marino;Sao_Tome_and_Principe;Saudi_Arabia;Senegal;Serbia;Seychelles;Sierra_Leone;Singapore;Sint_Maarten_Dutch_part;Slovakia;Slovenia;Solomon_Islands;Somalia;South_Africa;South_Korea;South_Sudan;Spain;Sri_Lanka;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Tanzania;Thailand;Timor;Togo;Trinidad_and_Tobago;Tunisia;Turkey;Turks_and_Caicos_Islands;Uganda;Ukraine;United_Arab_Emirates;United_Kingdom;United_States;United_States_Virgin_Islands;Uruguay;Uzbekistan;Vanuatu;Vatican;Venezuela;Vietnam;Wallis_and_Futuna;Western_Sahara;Yemen;Zambia;Zimbabwe
01.04.2020;35492;4;14;39;12;0;0;0;22;3;0;15;125;5;0;3;5;0;0;1337;0;0;0;0;7;0;12;0;200;0;1;6;12;0;0;6;88;0;0;0;0;12;69;16;0;2;2;1;6;6;1;8;31;8;86;0;0;51;77;37;1;0;0;4;0;0;0;0;17;3348;0;1;1;0;719;5;0;44;0;0;3;0;0;0;0;1;0;10;19;2;32;131;0;1910;39;69;0;20;9925;1;28;0;5;1;1;1;0;0;0;0;9;0;0;0;0;7;22;9;0;0;41;0;0;0;0;0;0;29;4;0;0;1;0;34;0;1;0;0;996;0;1;1;0;2;0;25;1;26;1;29;0;3;30;74;28;159;0;2;69;17;0;0;0;0;15;0;10;0;23;0;0;3;0;0;12;0;0;5;77;0;7698;2;1;0;0;372;354;0;4;0;1;9;0;1;3;9;214;0;0;13;6;2371;3971;0;1;2;0;0;3;0;0;0;0;0;0
02.04.2020;39560;4;13;52;14;0;0;0;29;4;0;15;142;5;1;3;6;0;0;1548;0;0;0;0;8;0;13;0;237;0;1;8;13;0;0;6;100;0;1;0;0;16;67;17;0;2;1;1;6;5;1;9;39;11;100;0;0;57;117;40;2;0;0;5;0;0;0;0;17;3788;0;1;1;0;859;5;0;45;0;0;3;0;0;0;0;3;0;14;20;2;47;152;0;1901;38;83;0;21;10179;3;28;2;5;2;1;1;0;1;0;0;8;0;0;0;0;8;27;10;0;0;43;0;0;0;0;0;5;37;4;0;0;1;0;37;0;1;0;0;1115;0;1;1;0;2;0;29;1;31;1;31;0;3;47;79;38;185;0;2;85;24;0;0;0;0;12;0;16;1;23;0;0;4;1;0;14;0;0;5;78;0;8455;2;1;0;0;434;353;0;4;0;1;11;0;2;5;10;276;0;0;18;8;3009;4988;0;2;2;0;0;3;0;0;0;0;0;0
03.04.2020;43519;4;14;56;15;0;0;0;31;7;0;17;152;5;1;3;6;0;4;1734;0;0;0;0;9;0;17;0;293;0;1;7;15;0;0;7;128;1;1;0;0;18;73;19;0;3;1;1;7;5;1;9;44;11;117;0;0;60;117;46;2;0;0;11;0;0;0;0;19;4131;0;1;1;0;974;5;0;48;0;0;3;0;0;0;0;3;0;15;25;3;52;151;0;1876;42;95;1;34;10510;3;30;2;5;3;3;1;0;1;0;0;12;0;0;0;0;9;26;11;0;0;48;0;0;0;0;1;7;50;5;0;0;2;0;42;0;1;0;0;1263;0;1;1;5;2;0;36;1;29;1;36;0;3;53;89;52;206;0;3;94;30;0;0;0;0;16;0;21;1;31;0;0;5;2;0;15;0;0;5;74;0;9236;3;1;0;0;505;399;0;4;0;1;14;0;2;6;13;352;0;0;20;8;3620;5903;0;4;2;0;0;3;0;0;0;0;1;1
04.04.2020;48909;4;15;95;16;2;0;0;34;7;0;23;162;4;3;3;6;0;4;1935;0;0;0;0;10;0;18;0;348;0;1;11;15;0;0;8;175;1;0;0;0;22;71;25;0;3;0;1;8;5;1;9;53;13;130;0;0;66;138;45;3;0;0;12;0;0;0;0;20;6057;0;0;1;0;1113;5;0;51;0;0;4;0;2;0;0;3;0;15;28;3;64;156;0;1727;40;117;1;38;10649;3;34;2;5;3;4;1;0;1;0;1;12;0;0;0;0;8;26;12;0;0;51;0;0;0;0;1;7;58;7;0;0;2;0;41;0;1;0;0;1381;0;1;1;5;2;0;37;1;28;1;40;0;2;58;118;66;240;0;3;133;34;0;0;0;0;18;0;21;1;38;0;0;5;2;0;19;0;0;7;74;0;9933;4;1;1;0;567;441;0;3;0;1;18;0;3;6;12;416;0;0;24;9;4324;6897;0;4;2;0;0;3;0;0;0;0;1;1
05.04.2020;53504;5;17;115;17;2;0;0;39;7;0;27;178;4;4;3;6;0;5;2166;0;0;0;0;10;0;20;0;414;0;1;14;13;0;0;9;213;1;0;0;0;27;68;31;0;5;0;2;12;5;1;9;59;17;148;0;0;74;165;58;3;0;0;13;0;0;0;0;24;6998;0;0;1;0;1275;4;0;55;0;0;3;1;2;0;0;3;0;22;30;3;73;153;0;1896;39;134;1;45;10535;3;34;3;5;3;4;1;1;1;0;1;13;0;1;0;1;8;23;17;0;0;53;0;0;0;0;1;6;77;11;0;0;2;0;56;0;1;0;0;1515;0;1;1;5;4;0;43;2;32;1;43;0;2;68;119;74;254;0;3;141;43;0;0;0;0;12;0;29;2;43;0;0;4;2;0;21;0;0;9;79;0;10418;5;1;1;0;641;484;2;3;0;1;22;0;3;6;17;480;0;0;29;8;5022;8161;0;5;2;0;0;5;0;0;0;0;1;1
06.04.2020;56590;7;19;135;18;2;0;0;42;8;0;29;188;6;5;2;6;1;8;2366;1;0;0;0;11;0;23;0;461;0;1;17;14;0;0;9;260;1;0;0;0;33;61;33;0;5;0;3;15;7;1;9;66;16;166;0;0;79;166;61;3;0;0;15;2;0;0;0;26;7404;0;0;1;2;1340;4;0;58;0;0;3;2;3;0;0;3;0;22;31;3;102;150;0;1918;41;154;1;48;10413;3;32;3;5;5;4;0;1;4;0;1;14;0;3;0;1;12;28;16;0;0;51;0;0;0;0;1;5;92;14;0;0;2;0;66;0;1;0;0;1587;0;1;1;10;5;0;51;2;45;1;51;0;4;78;127;87;281;0;4;146;45;0;0;0;0;12;0;34;2;50;0;0;4;4;0;27;0;0;11;73;0;10698;5;1;1;0;720;499;2;3;0;1;25;0;3;7;16;544;0;0;34;8;5585;9176;1;6;2;0;0;5;0;0;0;0;1;1
07.04.2020;60065;6;18;156;21;2;0;0;49;8;0;35;195;6;5;2;9;2;13;2545;1;1;2;0;14;0;27;0;519;0;1;19;14;0;0;9;299;1;0;0;0;35;54;43;0;5;0;3;16;8;1;9;77;16;163;0;0;83;173;64;4;0;0;19;2;0;0;0;26;8051;0;0;0;2;1481;3;0;62;0;0;3;2;4;0;0;4;1;22;39;4;105;160;0;1927;41;168;1;56;10448;3;38;3;6;6;4;2;1;4;0;1;15;0;3;1;1;13;33;19;0;0;48;0;0;0;0;1;5;121;18;0;0;2;0;76;0;1;0;0;1654;0;1;1;10;4;0;51;2;48;1;49;0;4;87;130;99;288;0;4;150;47;0;0;0;0;12;0;38;2;57;0;0;4;4;2;29;0;0;12;72;0;10873;5;1;1;0;783;518;2;3;0;1;22;0;3;8;19;612;1;0;35;9;6076;10399;1;6;2;0;0;5;0;0;0;0;1;0
08.04.2020;65355;10;17;174;22;2;0;0;54;9;0;37;213;7;6;2;13;3;13;2745;1;1;2;0;15;0;30;0;621;0;1;20;16;0;0;8;353;0;0;0;0;41;52;47;0;5;0;3;17;10;1;6;85;15;171;0;0;92;193;66;4;0;0;21;2;0;0;0;33;9228;0;0;0;3;1712;3;0;61;0;0;3;2;4;0;0;4;1;22;48;4;140;166;0;1938;37;203;1;62;10309;2;38;3;6;6;6;4;1;4;0;2;15;0;3;1;1;13;36;24;0;0;48;0;5;0;0;1;5;136;21;0;0;2;0;85;0;1;0;0;1825;0;1;1;10;5;0;59;2;51;1;53;0;2;100;142;119;312;0;6;171;58;0;0;0;0;13;0;40;2;60;0;0;4;8;2;33;0;0;13;74;0;11102;6;1;1;0;876;555;2;3;0;1;26;0;3;8;19;681;1;0;42;10;7033;12094;1;7;2;0;0;7;0;0;0;0;1;0
09.04.2020;69244;13;17;184;23;2;0;0;57;10;0;39;239;6;7;2;15;3;13;2960;1;1;3;0;18;0;32;0;743;0;1;21;20;0;0;9;400;0;0;0;0;45;48;51;0;5;0;3;18;11;0;6;93;17;184;0;0;98;213;82;5;0;0;23;2;0;0;0;37;9538;0;0;0;3;1909;3;0;61;0;0;3;2;5;0;0;5;1;23;56;4;153;182;0;1916;40;226;1;66;10164;3;40;3;6;7;6;5;1;4;0;2;15;0;4;1;1;11;38;28;0;0;46;0;7;1;0;1;5;169;26;0;0;2;0;87;0;3;0;0;1892;0;1;1;10;5;0;68;2;55;1;57;0;2;113;144;145;337;0;6;196;63;0;0;0;0;13;0;39;2;63;0;0;4;8;2;36;0;0;18;73;0;11121;7;1;1;0;931;602;2;3;0;1;28;0;3;7;18;753;1;0;48;10;7872;13767;1;7;3;0;0;8;0;0;0;0;1;1
10.04.2020;73858;14;17;210;22;2;0;2;67;10;0;39;243;6;8;1;16;3;16;3130;1;1;4;0;19;0;33;0;864;0;1;21;21;0;0;9;470;0;0;0;0;53;44;63;0;5;1;3;18;13;0;7;103;16;196;1;0;108;238;97;6;0;0;23;2;0;0;0;38;10514;0;0;0;3;2120;3;0;60;0;0;3;2;5;0;0;5;2;22;67;4;182;202;0;1876;33;244;1;78;10116;3;42;2;7;9;6;6;1;5;0;2;13;0;4;1;1;11;43;29;0;0;44;0;7;2;0;1;5;186;28;0;0;1;0;87;0;3;0;0;1962;0;2;1;10;6;0;74;3;57;0;57;0;3;129;158;158;349;33;6;212;74;0;0;0;0;13;0;41;2;63;0;0;4;8;2;38;0;1;16;69;0;11149;7;1;1;0;989;595;2;3;0;1;28;0;3;7;20;833;1;0;52;12;8807;15394;1;7;3;0;0;8;0;0;0;0;1;2
